0 80 0.525051 3.88991 25.5278 6.09242 6.05366 4.06068 46.6253 7.9497 3.17392 4.05665 46.1806 8.59639 17.2636
0 80 6.08536 3.88991 25.5275 6.80525 0.515146 4.0611 46.6722 6.65436 3.44755 3.85959 20.4181 7.68496 17.3984
0 80 7.39687 3.89101 25.6966 7.03005 0.614127 4.06114 46.6768 7.37061 2.3137 4.14148 55.5887 9.1323 18.7347
0 80 3.52345 3.89028 25.5854 7.24253 2.37633 4.06048 46.6037 7.83313 0.765208 4.12149 53.3399 7.11635 19.0703
0 80 4.34785 3.891 25.695 6.98152 3.04884 4.06042 46.5975 9.99322 5.81221 3.98692 38.2902 6.58925 22.8263
0 80 2.3754 3.89056 25.6277 6.15791 7.51192 4.06109 46.6712 9.35629 0.611685 4.12175 53.369 7.75836 24.4699
0 80 2.25705 3.89013 25.5614 7.38389 3.30576 4.06057 46.6133 8.99916 0.329468 4.26343 71.5194 9.81151 25.3549
0 80 7.06615 3.89015 25.5642 7.28072 0.271034 4.0605 46.6057 8.12562 1.80973 4.12704 53.9606 7.99998 25.4464
0 80 3.50405 3.88999 25.5407 7.24408 2.39942 4.06112 46.6744 8.37439 4.53911 4.09163 50.0336 6.66373 25.6857
0 80 3.21257 3.89056 25.6275 7.09535 2.10546 4.06056 46.612 8.41608 4.30325 3.97418 36.7792 6.58265 26.5539
0 80 3.7223 3.88904 25.3929 7.19774 2.48241 4.06136 46.7011 9.45854 1.05052 3.99585 39.3322 5.00803 27.1219
0 80 1.98883 3.89076 25.658 6.98452 0.288232 4.061 46.6606 6.04493 3.12313 4.07568 48.2782 9.68134 28.3363
0 80 3.05927 3.89052 25.6221 7.46974 6.02899 4.06019 46.5715 7.0461 0.237451 4.18502 60.6827 9.20296 28.4976
0 80 2.38861 3.89005 25.55 7.17522 0.86248 4.06022 46.5746 7.64066 3.4928 4.10071 51.0346 9.44797 29.1752
0 80 3.65995 3.88934 25.4397 7.2765 2.2921 4.06098 46.6588 7.76352 4.76264 4.17764 59.7941 7.62096 29.5087
0 80 3.19669 3.89013 25.5614 7.30723 1.79167 4.06055 46.6119 7.71668 4.25238 3.97657 37.0651 7.56178 29.5925
0 80 6.20517 3.89016 25.5664 7.09485 4.93583 4.06035 46.5892 5.52653 3.35119 4.27204 72.9994 13.6693 29.6759
